ea_id,com_cf01,com_cf02,com_cf03,com_cf04,com_cf05,com_cf06,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf14a,com_cf14b,com_cf14c,com_cf14d,com_cf14e,com_cf15a,com_cf15b,com_cf15c,com_cf15d,com_cf15e,com_cf16a,com_cf16b,com_cf16c,com_cf16d,com_cf16e,com_cf16f,com_cf16g,com_cf16h,com_cf16i,com_cf17a,com_cf17b,com_cf17c
10101016,YES,2ND HALF NOV,2ND HALF JUN,TOO MUCH,TOO EARLY,TOO LATE,NO,3,KM,NO,,0,0,NO,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,WORSE,WORSE,MUCH WORSE,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,BETTER,MUCH WORSE,NOT APPLICABLE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH WORSE,WORSE,NO,NO,NO
10101204,YES,2ND HALF NOV,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,NO,18,KM,YES,350,0,0,NO,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,BETTER,MUCH WORSE,BETTER,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,WORSE,WORSE,MUCH BETTER,MUCH WORSE,WORSE,NO,NO,NO
10101215,YES,1ST HALF DEC,1ST HALF JUN,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,NO,3,KM,NO,,0,0,NO,LESS,MORE,MORE,LESS,ABOUT THE SAME NUMBER,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,MUCH BETTER,WORSE,NO,NO,NO
10101562,YES,2ND HALF NOV,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,NO,3,KM,YES,170,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,MUCH BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,ABOUT THE SAME,NO,NO,NO
10102004,YES,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO LATE,NO,38,KM,YES,35,0,0,NO,MORE,MORE,MORE,MORE,MORE,MUCH WORSE,MUCH WORSE,MUCH WORSE,NOT APPLICABLE,NOT APPLICABLE,BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,WORSE,MUCH BETTER,BETTER,WORSE,NO,NO,NO
10103414,YES,1ST HALF DEC,1ST HALF JUN,TOO LITTLE,AT THE RIGHT TIME,TOO EARLY,YES,,,YES,50,0,0,NO,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH WORSE,MUCH BETTER,WORSE,MUCH BETTER,BETTER,WORSE,NO,NO,YES
10104150,YES,2ND HALF DEC,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,NO,8,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,WORSE,NO,NO,NO
10201688,YES,1ST HALF DEC,2ND HALF MAR,TOO LITTLE,TOO EARLY,TOO EARLY,YES,,,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,WORSE,MUCH BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,WORSE,MUCH WORSE,WORSE,NOT APPLICABLE,NO,NO,NO
10202514,YES,1ST HALF DEC,2ND HALF MAR,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO EARLY,NO,4,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,WORSE,NOT APPLICABLE,WORSE,WORSE,WORSE,ABOUT THE SAME,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,NO,NO,NO
10203176,YES,1ST HALF DEC,2ND HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,NO,100,METER,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,MORE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH WORSE,ABOUT THE SAME,BETTER,NOT APPLICABLE,NO,NO,NO
10203744,YES,2ND HALF DEC,1ST HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,NO,8,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,BETTER,MUCH BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,WORSE,WORSE,WORSE,WORSE,NO,NO,YES
10204322,YES,1ST HALF DEC,2ND HALF APR,TOO LITTLE,TOO LATE,TOO EARLY,YES,,,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,WORSE,MUCH BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,BETTER,WORSE,BETTER,BETTER,ABOUT THE SAME,NO,NO,NO
10204586,YES,2ND HALF DEC,1ST HALF APR,TOO MUCH,AT THE RIGHT TIME,TOO LATE,YES,,,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,ABOUT THE SAME,MUCH WORSE,MUCH BETTER,NO,NO,NO
10220103,YES,1ST HALF JAN,1ST HALF MAY,TOO LITTLE,TOO EARLY,TOO LATE,NO,1,KM,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,MORE,WORSE,WORSE,WORSE,NOT APPLICABLE,BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,WORSE,BETTER,WORSE,BETTER,NO,NO,YES
10220705,YES,1ST HALF DEC,2ND HALF APR,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,NO,20,METER,NO,,0,1,NO,ABOUT THE SAME NUMBER,MORE,MORE,MORE,MORE,MUCH WORSE,MUCH WORSE,MUCH WORSE,WORSE,WORSE,BETTER,BETTER,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,MUCH WORSE,BETTER,WORSE,NO,NO,NO
10301663,YES,1ST HALF DEC,1ST HALF APR,TOO MUCH,TOO LATE,TOO LATE,YES,,,YES,15,0,0,NO,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME NUMBER,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,MUCH BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,WORSE,BETTER,ABOUT THE SAME,NO,NO,NO
10302010,YES,2ND HALF DEC,1ST HALF MAY,THE RIGHT AMOUNT,TOO LATE,TOO LATE,NO,8,KM,NO,,0,0,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,WORSE,NOT APPLICABLE,BETTER,WORSE,BETTER,BETTER,NOT APPLICABLE,WORSE,NOT APPLICABLE,BETTER,BETTER,BETTER,BETTER,BETTER,NO,NO,NO
10304012,YES,2ND HALF DEC,1ST HALF APR,TOO LITTLE,TOO EARLY,TOO EARLY,YES,,,YES,40,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,LESS,LESS,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,WORSE,WORSE,ABOUT THE SAME,NO,NO,YES
10305446,YES,1ST HALF NOV,2ND HALF MAR,TOO LITTLE,TOO LATE,TOO EARLY,YES,,,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME NUMBER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,NOT APPLICABLE,BETTER,WORSE,WORSE,WORSE,BETTER,NO,NO,NO
10307413,YES,2ND HALF NOV,2ND HALF MAR,TOO LITTLE,TOO EARLY,AT THE RIGHT TIME,YES,,,NO,,2,2,YES,LESS,LESS,LESS,NOT APPLICABLE,LESS,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,NOT APPLICABLE,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,BETTER,NO,NO,NO
10308636,YES,2ND HALF DEC,1ST HALF MAY,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,YES,,,YES,20,0,0,NO,MORE,MORE,LESS,NOT APPLICABLE,NOT APPLICABLE,BETTER,NOT APPLICABLE,BETTER,NOT APPLICABLE,BETTER,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,BETTER,BETTER,MUCH BETTER,WORSE,BETTER,NO,NO,NO
10401140,YES,2ND HALF DEC,2ND HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,YES,,,NO,,4,4,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MORE,MORE,MORE,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,WORSE,MUCH BETTER,BETTER,NO,NO,NO
10401502,YES,1ST HALF DEC,2ND HALF JUN,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO LATE,NO,4,KM,NO,,0,0,NO,LESS,LESS,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,NOT APPLICABLE,NOT APPLICABLE,BETTER,MUCH BETTER,WORSE,NOT APPLICABLE,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED"
10401522,YES,1ST HALF DEC,1ST HALF MAY,TOO LITTLE,TOO LATE,TOO EARLY,NO,15,KM,NO,,0,0,NO,MORE,MORE,MORE,MORE,ABOUT THE SAME NUMBER,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,ABOUT THE SAME,ABOUT THE SAME,BETTER,BETTER,ABOUT THE SAME,WORSE,BETTER,BETTER,NO,NO,NO
10404186,YES,2ND HALF DEC,1ST HALF APR,TOO MUCH,AT THE RIGHT TIME,TOO EARLY,NO,3,KM,NO,,1,0,NO,LESS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,BETTER,NOT APPLICABLE,BETTER,ABOUT THE SAME,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,BETTER,NOT APPLICABLE,BETTER,ABOUT THE SAME,BETTER,NO,NO,NO
10405213,YES,2ND HALF DEC,2ND HALF JUN,TOO MUCH,AT THE RIGHT TIME,TOO LATE,NO,4,KM,YES,30,1,1,NO,LESS,LESS,MORE,MORE,ABOUT THE SAME NUMBER,BETTER,BETTER,BETTER,WORSE,BETTER,BETTER,BETTER,WORSE,ABOUT THE SAME,BETTER,ABOUT THE SAME,BETTER,BETTER,BETTER,NO,NO,NO
10501505,YES,2ND HALF NOV,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO EARLY,NO,73,KM,YES,30,0,0,NO,LESS,LESS,LESS,LESS,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,NO,NO,NO
10501709,YES,1ST HALF DEC,1ST HALF MAY,TOO LITTLE,AT THE RIGHT TIME,AT THE RIGHT TIME,NO,3,KM,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,WORSE,WORSE,WORSE,MUCH WORSE,WORSE,ABOUT THE SAME,WORSE,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,NO,NO,NO
10502268,YES,2ND HALF NOV,1ST HALF MAY,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO EARLY,NO,4,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,LESS,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,WORSE,WORSE,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,NO,NO,NO
10502593,YES,2ND HALF DEC,1ST HALF MAY,TOO LITTLE,TOO EARLY,TOO EARLY,NO,10,KM,NO,,0,0,NO,LESS,LESS,LESS,LESS,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,WORSE,NO,NO,NO
10503367,YES,2ND HALF NOV,2ND HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,NO,2,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,BETTER,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,NO,NO,NO
10505136,YES,1ST HALF NOV,2ND HALF MAY,THE RIGHT AMOUNT,AT THE RIGHT TIME,TOO EARLY,NO,5,KM,YES,35,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,MORE,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,BETTER,BETTER,WORSE,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,NO,NO,NO
10505310,YES,2ND HALF NOV,1ST HALF JUN,TOO LITTLE,TOO LATE,TOO EARLY,NO,18,KM,NO,,0,0,NO,MORE,MORE,MORE,MORE,ABOUT THE SAME NUMBER,BETTER,BETTER,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,ABOUT THE SAME,WORSE,WORSE,BETTER,WORSE,BETTER,ABOUT THE SAME,ABOUT THE SAME,NO,NO,YES
10505508,YES,1ST HALF DEC,1ST HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,YES,,,NO,,0,0,NO,LESS,LESS,LESS,LESS,LESS,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,BETTER,NO,NO,NO
10507175,YES,2ND HALF DEC,2ND HALF APR,TOO LITTLE,TOO LATE,TOO EARLY,NO,15,KM,NO,,0,0,NO,LESS,LESS,LESS,LESS,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,WORSE,WORSE,NO,NO,NO
10507344,YES,2ND HALF DEC,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO LATE,NO,3,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,NOT APPLICABLE,WORSE,ABOUT THE SAME,WORSE,ABOUT THE SAME,ABOUT THE SAME,NO,NO,"YES, BUT NOT IF HH IS IN NEED"
10509319,YES,2ND HALF NOV,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,AT THE RIGHT TIME,NO,6,KM,NO,,0,0,NO,MORE,MORE,MORE,ABOUT THE SAME NUMBER,MORE,WORSE,ABOUT THE SAME,BETTER,WORSE,WORSE,BETTER,WORSE,NOT APPLICABLE,NOT APPLICABLE,BETTER,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,NO,NO,NO
10510388,YES,2ND HALF DEC,2ND HALF JUN,TOO LITTLE,TOO LATE,TOO LATE,YES,,,NO,,0,0,NO,MORE,MORE,MORE,MORE,MORE,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,WORSE,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,WORSE,NOT APPLICABLE,ABOUT THE SAME,WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,NO,NO,NO
10732192,YES,2ND HALF NOV,2ND HALF JUN,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,YES,,,NO,,1,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,BETTER,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,WORSE,WORSE,ABOUT THE SAME,NO,NO,NO
10733640,YES,2ND HALF NOV,2ND HALF APR,THE RIGHT AMOUNT,TOO EARLY,TOO LATE,NO,20,KM,NO,,0,0,NO,LESS,LESS,LESS,LESS,LESS,BETTER,BETTER,BETTER,WORSE,WORSE,BETTER,BETTER,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,BETTER,NO,NO,NO
10734370,YES,2ND HALF NOV,1ST HALF APR,TOO MUCH,TOO EARLY,TOO LATE,NO,2,MILE,NO,,0,0,NO,LESS,LESS,LESS,LESS,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,BETTER,WORSE,WORSE,BETTER,WORSE,BETTER,BETTER,WORSE,NO,NO,NO
10734762,YES,2ND HALF NOV,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO EARLY,NO,20,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO
10735173,YES,1ST HALF DEC,1ST HALF JUN,THE RIGHT AMOUNT,TOO EARLY,TOO LATE,NO,8,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,WORSE,WORSE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO
10736596,YES,1ST HALF NOV,2ND HALF JUN,TOO LITTLE,TOO EARLY,TOO LATE,NO,1,KM,NO,,0,0,NO,MORE,MORE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,WORSE,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,NO,NO,NO
10741504,YES,1ST HALF DEC,1ST HALF MAY,TOO MUCH,AT THE RIGHT TIME,TOO LATE,NO,3,KM,NO,,0,0,NO,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,ABOUT THE SAME NUMBER,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO
10744649,YES,1ST HALF NOV,2ND HALF APR,TOO MUCH,TOO LATE,TOO LATE,NO,10,KM,NO,,0,0,NO,LESS,LESS,LESS,NOT APPLICABLE,LESS,WORSE,WORSE,WORSE,WORSE,WORSE,BETTER,WORSE,BETTER,WORSE,BETTER,BETTER,BETTER,WORSE,WORSE,NO,NO,NO
10746033,YES,2ND HALF NOV,2ND HALF MAY,THE RIGHT AMOUNT,AT THE RIGHT TIME,AT THE RIGHT TIME,NO,8,KM,NO,,0,0,NO,MORE,MORE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,WORSE,NOT APPLICABLE,WORSE,NOT APPLICABLE,WORSE,WORSE,WORSE,NOT APPLICABLE,NOT APPLICABLE,BETTER,NOT APPLICABLE,BETTER,WORSE,ABOUT THE SAME,NO,NO,NO
