occ,y2_hhid,qx_type,interview_status,fs_c00,fs_c01a,fs_c01b,fs_c01c,fs_c02a,fs_c02b,fs_c02c,fs_c03a,fs_c03b,fs_c03c,fs_c04a,fs_c04b,fs_c04c
1,0163-001,PANEL A,Panel A - 2 Visits,2,0,0,0,0,0,0,0,0,0,12,4,7
1,0182-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,14,3,6
2,0182-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,12,3,4
1,0192-003,PANEL B,Panel B - 2 Visits,1,5,2,9,0,0,0,0,0,0,0,0,0
1,0203-001,PANEL A,Panel A - 2 Visits,1,16,3,2,0,0,0,0,0,0,0,0,0
1,0232-001,PANEL B,Panel B - 2 Visits,1,12,1,10,0,0,0,0,0,0,0,0,0
2,0232-001,PANEL B,Panel B - 2 Visits,2,12,1,2,0,0,0,0,0,0,0,0,0
1,0240-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,10,3,6
1,0266-001,PANEL B,Panel B - 2 Visits,1,4,7,8,0,0,0,4,7,6,1,1,4
1,0268-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,3
1,0279-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,3,5,10
1,0297-002,PANEL A,Panel A - 2 Visits,1,,,,1,3,12,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,1,6,5,8,0,0,0,6,5,4,0,0,0
2,0300-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,5,3,3
1,0301-001,PANEL A,Panel A - 2 Visits,1,0,0,0,2,3,10,0,0,0,0,0,0
1,0306-004,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,8,4,8
1,0316-001,PANEL B,Panel B - 2 Visits,1,0,0,0,4,7,18,0,0,0,0,1,0
1,0343-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,6
1,0355-001,PANEL A,Panel A - 2 Visits,9,,,0,,,0,,0,,3,3,9
1,0384-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,10,3,4
2,0384-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,10,2,2
3,0384-001,PANEL B,Panel B - 2 Visits,5,0,0,0,0,0,0,0,0,0,10,2,2
1,0390-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,8,3,7
2,0390-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,8,3,7
3,0390-001,PANEL B,Panel B - 2 Visits,3,0,0,0,0,0,0,0,0,0,4,2,3
4,0390-001,PANEL B,Panel B - 2 Visits,4,0,0,0,0,0,0,0,0,0,4,2,2
5,0390-001,PANEL B,Panel B - 2 Visits,5,0,0,0,0,0,0,0,0,0,4,2,2
1,0406-001,PANEL B,Panel B - 2 Visits,1,20,4,8,0,0,0,0,0,0,0,0,0
2,0406-001,PANEL B,Panel B - 2 Visits,2,20,4,5,0,0,0,0,0,0,0,0,0
3,0406-001,PANEL B,Panel B - 2 Visits,3,14,2,1,0,0,0,0,0,0,0,0,0
4,0406-001,PANEL B,Panel B - 2 Visits,4,12,2,1,0,0,0,0,0,0,0,0,0
1,0508-001,PANEL B,Panel B - 2 Visits,1,0,0,0,8,7,3,0,0,0,0,0,0
1,0782-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,2,4
1,1069-003,PANEL A,Panel A - 2 Visits,1,16,6,6,0,0,0,16,6,2,0,0,0
1,1134-001,PANEL B,Panel B - 2 Visits,1,3,1,1,0,0,0,0,0,0,0,0,0
1,1218-002,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,6,6
1,1325-001,PANEL A,Panel A - 2 Visits,0,0,0,0,0,0,0,0,0,0,3,6,8
1,1659-005,PANEL A,Panel A - Combined Visit,2,0,0,0,0,0,0,0,0,0,4,6,8
1,1740-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,1,7,14
1,1804-001,PANEL B,Panel B - 2 Visits,1,4,3,2,0,0,0,4,2,1,0,0,0
2,1804-001,PANEL B,Panel B - 2 Visits,2,2,2,1,0,0,0,2,1,1,0,0,0
3,1804-001,PANEL B,Panel B - 2 Visits,5,2,2,1,0,0,0,2,1,1,0,0,0
4,1804-001,PANEL B,Panel B - 2 Visits,6,4,3,2,0,0,0,4,2,1,0,0,0
1,1879-001,PANEL A,Panel A - 2 Visits,2,0,0,0,0,0,0,0,0,0,4,7,6
1,1921-001,PANEL A,Panel A - 2 Visits,1,4,7,7,0,0,0,0,0,0,0,0,0
1,1935-001,PANEL A,Panel A - 2 Visits,1,2,4,6,0,0,0,1,2,4,0,0,0
1,1945-001,PANEL A,Panel A - 2 Visits,1,4,7,8,0,0,0,0,0,0,0,0,0
1,1949-001,PANEL A,Panel A - 2 Visits,1,12,4,8,0,0,0,0,0,0,0,0,0
1,1951-001,PANEL A,Panel A - 2 Visits,1,4,7,8,0,0,0,4,7,5,0,0,0
1,1951-002,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2053-001,PANEL A,Panel A - 2 Visits,1,12,7,3,0,0,0,0,0,0,0,0,0
1,2073-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2103-001,PANEL A,Panel A - 2 Visits,2,0,,,0,,,0,,,4,7,14
1,2189-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,3,3,6
1,2202-002,PANEL B,Panel B - Combined Visit,3,0,0,0,0,0,0,0,0,0,7,4,4
1,2231-004,PANEL A,Panel A - 2 Visits,1,0,,0,0,0,0,0,0,0,4,6,7
1,2403-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2433-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,36,5,8
1,2563-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,8
1,2569-001,PANEL A,Panel A - 2 Visits,1,0,,,0,,,0,,,11,4,6
1,2598-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,28,4,6
1,2603-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,20,7,6
1,2703-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,20,6,6
1,2777-001,PANEL A,Panel A - 2 Visits,1,,,,,,,,,,24,6,8
1,2788-003,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,6
1,2812-003,PANEL B,Panel B - Combined Visit,2,0,0,0,0,0,0,0,0,0,4,6,8
1,2835-001,PANEL A,Panel A - 2 Visits,1,,,,,,,,,,2,6,2
2,2835-001,PANEL A,Panel A - 2 Visits,3,,,,,,,,,,2,6,2
1,2984-001,PANEL B,Panel B - 2 Visits,1,0,,,0,,,0,,,20,6,8
1,3036-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,52,6,11
1,3074-002,PANEL B,Panel B - 2 Visits,0,0,0,0,0,0,0,0,0,0,8,2,6
1,3143-001,PANEL A,Panel A - 2 Visits,2,0,0,0,0,0,0,0,0,0,3,7,9
1,3155-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,8
