occ,y2_hhid,qx_type,interview_status,fs_f0b,fs_f0c,fs_f04,fs_f05,fs_f06,fs_f07
1,0163-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0163-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0163-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0163-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0163-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0163-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,300,YES,YES
1,0182-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,0182-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,NO,
3,0182-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,0182-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,NO,
5,0182-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,NO,
6,0182-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,0192-003,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0203-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,0232-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0240-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0240-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0240-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0240-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0240-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,450,YES,YES
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,NO,
1,0268-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0268-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,22500,YES,NO
3,0268-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0268-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,NO
5,0268-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,NO
6,0268-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0279-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0279-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,3000,YES,NO
3,0279-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0279-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,NO
5,0279-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,NO
6,0279-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,NO,
1,0300-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0300-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,800,YES,NO
3,0300-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0300-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,NO
5,0300-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,NO
6,0300-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,0306-004,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0306-004,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,4800,YES,YES
3,0306-004,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0306-004,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0306-004,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,2000,YES,YES
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,YES,NO
1,0343-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0343-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0343-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0343-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0343-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0355-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0355-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1500,YES,YES
3,0355-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,1500,YES,YES
4,0355-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0355-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0384-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0384-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0384-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0384-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0384-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0390-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0390-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0390-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0390-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0390-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0406-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0508-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0782-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,2500,YES,YES
2,0782-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,9000,YES,YES
3,0782-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0782-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0782-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,1069-003,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,YES,NO
1,1218-002,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,1218-002,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,NO
3,1218-002,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,1218-002,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,NO
5,1218-002,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,NO
6,1218-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,480,YES,NO
1,1325-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,1325-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,3900,YES,NO
3,1325-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,1325-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,NO
5,1325-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,NO
6,1325-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,1659-005,PANEL A,Panel A - Combined Visit,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,1659-005,PANEL A,Panel A - Combined Visit,TRANSPORT,Transport,YES,700,YES,YES
3,1659-005,PANEL A,Panel A - Combined Visit,PACKAGING,Packaging,NO,,YES,YES
4,1659-005,PANEL A,Panel A - Combined Visit,ICE,Ice,NO,,YES,YES
5,1659-005,PANEL A,Panel A - Combined Visit,TAX,Tax,NO,,YES,YES
6,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,1740-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,1740-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,4000,NO,
3,1740-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,1740-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,NO,
5,1740-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,NO,
6,1740-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",,,NO,
1,1804-001,PANEL B,Panel B - 2 Visits,,,,,NO,
1,1879-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,1879-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,600,NO,
3,1879-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,1879-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,NO,
5,1879-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,NO,
6,1879-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,1921-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,1949-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,1951-002,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,2073-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,2103-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,,NO
2,2103-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,600,,NO
3,2103-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,,NO
4,2103-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,,NO
5,2103-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,,NO
6,2103-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,NO
1,2189-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,2202-002,PANEL B,Panel B - Combined Visit,HIRED LABOUR,Hired Labour,NO,,NO,
2,2202-002,PANEL B,Panel B - Combined Visit,TRANSPORT,Transport,YES,600,NO,
3,2202-002,PANEL B,Panel B - Combined Visit,PACKAGING,Packaging,NO,,NO,
4,2202-002,PANEL B,Panel B - Combined Visit,ICE,Ice,NO,,NO,
5,2202-002,PANEL B,Panel B - Combined Visit,TAX,Tax,NO,,NO,
6,2202-002,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,2231-004,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,2231-004,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,2400,YES,YES
3,2231-004,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,2231-004,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2231-004,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2403-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,2433-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,6000,YES,YES
2,2433-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,40000,YES,YES
3,2433-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,5000,YES,YES
4,2433-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2433-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2563-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,,YES
2,2563-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,2400,,YES
3,2563-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,450,,YES
4,2563-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,,YES
5,2563-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,,YES
6,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,480,,YES
1,2569-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,2500,YES,YES
2,2569-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,5000,YES,YES
3,2569-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,1000,YES,YES
4,2569-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2569-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2598-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,1000,YES,YES
2,2598-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,2000,YES,YES
3,2598-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,2598-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,2598-001,PANEL B,Panel B - 2 Visits,TAX,Tax,YES,250,YES,YES
6,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2603-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,2656-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,2656-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,2656-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,2656-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,2656-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,2656-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2703-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,2703-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,2703-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,2703-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2703-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,50,YES,YES
6,2703-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2777-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,2777-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1800,YES,YES
3,2777-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,200,YES,YES
4,2777-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2777-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,2777-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2788-003,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,5000,YES,YES
2,2788-003,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,5000,YES,YES
3,2788-003,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,YES,1000,YES,YES
4,2788-003,PANEL B,Panel B - 2 Visits,ICE,Ice,YES,10000,YES,YES
5,2788-003,PANEL B,Panel B - 2 Visits,TAX,Tax,YES,300,YES,YES
6,2788-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,2812-003,PANEL B,Panel B - Combined Visit,HIRED LABOUR,Hired Labour,NO,,,
2,2812-003,PANEL B,Panel B - Combined Visit,TRANSPORT,Transport,YES,400,,
3,2812-003,PANEL B,Panel B - Combined Visit,PACKAGING,Packaging,NO,,,
4,2812-003,PANEL B,Panel B - Combined Visit,ICE,Ice,NO,,,
5,2812-003,PANEL B,Panel B - Combined Visit,TAX,Tax,NO,,,
6,2812-003,PANEL B,Panel B - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,
1,2835-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,300,YES,YES
2,2835-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1500,YES,YES
3,2835-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,210,YES,YES
4,2835-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,2835-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,280,YES,YES
6,2835-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,1000,YES,YES
1,2984-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,2984-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,1000,NO,
3,2984-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,2984-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,NO,
5,2984-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,NO,
6,2984-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",,,NO,
1,3036-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,3036-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,450,NO,
3,3036-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,3036-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,NO,
5,3036-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,NO,
6,3036-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,3074-002,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,2300,YES,YES
2,3074-002,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,3500,YES,YES
3,3074-002,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,3074-002,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,3074-002,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,3074-002,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,3143-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,3143-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,400,NO,
3,3143-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,3143-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,NO,
5,3143-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,NO,
6,3143-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,3155-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,YES,2500,NO,
2,3155-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,3000,NO,
3,3155-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,3155-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,NO,
5,3155-001,PANEL A,Panel A - 2 Visits,TAX,Tax,YES,300,NO,
6,3155-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
