case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,usipa,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,aggregated,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,usipa,,6,LARGE BASKET,,fresh,,3000,no,,,,,,,6000,LARGE BASKET,,fresh,,3000,no,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,usipa,,2,LARGE BASKET,,fresh,,3000,no,,,,,,,2,LARGE BASKET,,fresh,,6500,no,,,,,,,
102031330272,f8b880f4fc3a479587230cfaed141480,usipa,,0,,,,.,,no,,,.,,.,,10,SMALL BASKET,,fresh,.,1500,no,,,,,.,,
102031330272,f8b880f4fc3a479587230cfaed141480,,,0,,,,,,no,,,,,,,10,SMALL BASKET,,fresh,,1500,no,,,,,,,9
102031350022,beb1efb5f918446194ffe54bafc17367,mlamba,,0,,,,.,,no,,,,,.,,2,DOZEN / BUNDLE,,fresh,.,1200,no,,,,,.,,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,ncheni,,200,DOZEN / BUNDLE,,fresh,.,200,no,,,,,.,,0,,,,.,,no,,,,,.,,
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,usipa,,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
102041390043,4904a664213a4720bff9919bcd654b1f,ncheni,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102041390094,faeda9d101104654ba0ba10f7bda070f,usipa,,2,OTHER (SPECIFY),chigoba,fresh,.,5000,no,,,.,,.,,6,OTHER (SPECIFY),"""Chigoba """,fresh,,3500,no,,,,,.,,
102041400017,0e66af7d72d34ecba01e7125b699982c,ncheni,,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
102041400073,3533c366067d4e8eb8224aaf3185e921,other,"""NON / no fish trading """,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,usipa,,2,5 KG BAG,,SUN-DRIED,,4500,no,,,,,,,2,5 KG BAG,,SUN-DRIED,,200,no,,,,,,,
102051430101,6c1d67be72734fa6bc1262795e6dfeda,ncheni,,45,LARGE BASKET,,fresh,.,4000,no,,,.,,.,,8,LARGE BASKET,,fresh,,3500,no,,,,,.,,
102051430101,6c1d67be72734fa6bc1262795e6dfeda,usipa,,13,SMALL BASKET,,fresh,.,2500,no,,,.,,.,,12,SMALL BASKET,,fresh,,2500,no,,,,,.,,
102051430113,947cb04fcc36485784709ffea38208bd,ncheni,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,ncheni,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,other,"""NKHOLOKORO """,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,mlamba,,2,LARGE BASKET,,fresh,.,4000,no,,,.,,.,,2,LARGE BASKET,,fresh,,5000,yes,2,,,smoked,.,5000,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,ncheni,,0,,,,.,,no,,,.,,.,,3,LARGE BASKET,,smoked,,5500,no,,,,,.,,
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,other,"""no fish trading """,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
103011500077,9a6ef6edf7554404b515bc38af73fe89,usipa,,50,SMALL BASKET,,SUN-DRIED,.,3000,no,,,.,,.,,50,SMALL BASKET,,SUN-DRIED,.,5800,no,,,,,.,,
103011500077,9a6ef6edf7554404b515bc38af73fe89,utaka,,60,SMALL BASKET,,SUN-DRIED,.,3500,no,,,.,,.,,60,SMALL BASKET,,SUN-DRIED,.,5000,no,,,,,.,,
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,utaka,,5,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,4500,no,,,,,,,60,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,6500,no,,,,,,,
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,usipa,,3,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,3500,no,,,,,,,36,OTHER (SPECIFY),5 LITRE PAIL,SUN-DRIED,,5500,no,,,,,,,
103041550097,567c55b2fade45ca9224c7e045c6faf2,usipa,,5,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,,,5,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,,,
103041550161,37d827493097455584995cea49b0c3a0,usipa,,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
103041550225,bd303448e341418babe957994438e3a4,utaka,,6,piece,,SUN-DRIED,,200,no,,,,,,,0,,,,,,no,,,,,,,
103041550225,bd303448e341418babe957994438e3a4,usipa,,3,LARGE BASKET,,fresh,,15000,no,,,,,,,15,piece,,SUN-DRIED,,100,no,,,,,,,
103041550332,334ca9c812914080afc3887e19b94ca9,usipa,,5,OTHER (SPECIFY),"""chigoba """,fresh,,5000,no,,,,,,,5,OTHER (SPECIFY),"""chigoba """,fresh,,7000,no,,,,,,,
103041560011,5facd51c70be45edba22c3dc65633cbf,usipa,,8,SMALL BASKET,,SUN-DRIED,.,5000,no,,,,,.,,8,SMALL BASKET,,SUN-DRIED,.,7500,no,,,,,.,,
103051580253,15d3528a60f549929bcbe78eb3deafc7,mlamba,,14,piece,,fresh,.,400,no,,,.,,.,,14,piece,,fresh,.,800,no,,,,,.,,
103051580253,15d3528a60f549929bcbe78eb3deafc7,,,14,piece,,fresh,,400,no,,,,,,,14,piece,,fresh,,800,no,,,,,,,3
103061590150,a729399a66b14db8b8a00c1e2d9148f6,usipa,,36,OTHER (SPECIFY),"""5 LITRE PAIL """,fresh,,2500,no,,,,,,,432,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,,3500,no,,,,,,,
103061600033,40c946603a674215878b8d31828dd6c0,usipa,,5,OTHER (SPECIFY),basin,fresh,.,4000,no,,,.,,.,,200,OTHER (SPECIFY),heap,fresh,,150,no,,,,,.,,
103061600056,1859860260824f6689c4bf15a6b2eb6e,other,Kholokolo,3,OTHER (SPECIFY),Basin,fresh,.,3500,no,,,.,,.,,3,OTHER (SPECIFY),"""Basin """,fresh,,5000,no,,,,,.,,
103061600056,1859860260824f6689c4bf15a6b2eb6e,ncheni,,4,OTHER (SPECIFY),"""Basin """,fresh,.,4000,no,,,.,,.,,4,OTHER (SPECIFY),Basin,fresh,,6000,no,,,,,.,,
103061600078,c26141cbc5174e96904b395bcc54366c,usipa,,3,LARGE BASKET,,fresh,.,2000,no,,,.,,.,,3,LARGE BASKET,,fresh,,3500,no,,,,,.,,
103061600180,c4f3a71f569c44a1b19069c09762f14e,usipa,,15,LARGE BASKET,,fresh,.,2000,no,,,.,,.,,15,LARGE BASKET,,fresh,,3500,no,,,,,.,,
103061600202,6feae0b98ff447729ed539e1ec2ba95c,usipa,,3,OTHER (SPECIFY),Cartons (large),SUN-DRIED,.,13000,no,,,.,,.,,3,OTHER (SPECIFY),CARTONS (LARGE),SUN-DRIED,,25000,no,,,,,.,,
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,chambo,,0,,,,,,yes,47,piece,,fresh,,1500,43,piece,,fresh,,1500,no,,,,,,,
103071610027,1dfe07332f63475f9557d4e4018207bc,aggregated,,24,DOZEN / BUNDLE,,fresh,,2000,no,,,,,,,26,DOZEN / BUNDLE,,fresh,,2500,no,,,,,,,
103081620014,d8b1edfeb6264f65b96d57c6121fc0a1,usipa,,4,OTHER (SPECIFY),"""RK Large basin """,fresh,.,10000,no,,,.,,.,,24,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,.,2500,no,,,,,.,,
103081620028,219b04bf89e54900b3b05477279ba185,usipa,,6,OTHER (SPECIFY),"""RK Large basin """,fresh,.,7000,no,,,.,,.,,12,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,.,2000,no,,,,,.,,
103081620042,5f4bc82d7ed94bebb62dfe3db9e6afae,usipa,,4,OTHER (SPECIFY),RK Large basin,fresh,.,8000,no,,,.,,.,,18,OTHER (SPECIFY),"""5 LITRE PAIL """,SUN-DRIED,.,2500,no,,,,,.,,
103081620098,b67cb8fcd273432aaadb42f1b549711a,usipa,,3,OTHER (SPECIFY),"""40 litre pail """,fresh,.,15000,no,,,.,,.,,24,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,2500,no,,,,,.,,
103081620127,e8a47dd94eb8405f884217260c58ab30,usipa,,5,OTHER (SPECIFY),40 litre basin,fresh,.,10000,no,,,.,,.,,40,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,2500,no,,,,,.,,
103081620184,f2569170459943dc8867c31b7e1e7974,usipa,,3,OTHER (SPECIFY),RK large basin,fresh,.,11000,no,,,.,,.,,4,OTHER (SPECIFY),"""5 litre bucket """,SUN-DRIED,.,3000,no,,,,,.,,
103081620198,2ce39e2d4a68423eb6eba403c0f41ff7,usipa,,10,OTHER (SPECIFY),"""RK large basin """,fresh,.,10000,no,,,.,,.,,40,OTHER (SPECIFY),"""5 litre bucket """,SUN-DRIED,.,3500,no,,,,,.,,
103081620212,bcc7ea73dd704eb3a3354f964cb1523a,usipa,,4,OTHER (SPECIFY),"""RK large basin """,fresh,.,13000,no,,,.,,.,,16,OTHER (SPECIFY),"""5 litre bucket """,SUN-DRIED,.,4000,no,,,,,.,,
103081620268,031e4883262d4934bcac67e031770853,ncheni,,80,piece,,fresh,.,500,no,,,.,,.,,80,piece,,fresh,.,1000,no,,,,,.,,
103081620295,27dc24a691b6480cbd6753766d00754a,usipa,,15,SMALL BASKET,,fresh,.,2500,no,,,.,,.,,15,SMALL BASKET,,SUN-DRIED,.,3500,no,,,,,.,,
103091630065,f66081fcd5754c73bb04ed9348cf4e55,ncheni,,8,LARGE BASKET,,SUN-DRIED,,18000,no,,,,,,,8,LARGE BASKET,,SUN-DRIED,,30000,no,,,,,,,
103091640104,b9c94e08eab045e2aa3573e8682e065d,usipa,,5,LARGE BASKET,,SUN-DRIED,.,5000,no,,,.,,.,,2,LARGE BASKET,,SUN-DRIED,,6500,no,,,,,.,,
103091640136,769d9986929f45169fc472563bac5523,usipa,,16,SMALL BASKET,,fresh,.,3500,no,,,.,,.,,16,SMALL BASKET,,SUN-DRIED,,5500,no,,,,,.,,
103091640150,9f4acc45075e445390de3771cac29b10,usipa,,20,OTHER (SPECIFY),10 litre pail,fresh,.,3000,no,,,.,,.,,40,OTHER (SPECIFY),5 litre pail,SUN-DRIED,,3500,no,,,,,.,,
103091640211,bc3bce638161477592d3ea6fca0c817e,usipa,,8,LARGE BASKET,,fresh,.,3000,no,,,.,,.,,16,SMALL BASKET,,fresh,,2500,no,,,,,.,,
103091640254,3df550fb47554460bd794cd44f989aa2,usipa,,7,LARGE BASKET,,SUN-DRIED,.,5000,no,,,.,,.,,14,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,.,,
103121660085,b8ae7be8d7ac456c8c4363c3172a0cbd,usipa,,10,OTHER (SPECIFY),"""5 LITRE BUCKET """,SUN-DRIED,.,2000,no,,,.,,.,,10,OTHER (SPECIFY),"""5 litre bucket """,SUN-DRIED,.,3500,no,,,,,.,,
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,other,"""CHILANI """,0,,,,,,no,,,,,,,10,piece,,fresh,,500,no,,,,,,,
103121680279,6722c5108f494fa7b2129ba5366656d9,usipa,,20,SMALL BASKET,,SUN-DRIED,.,2500,no,,,.,,.,,20,SMALL BASKET,,SUN-DRIED,,4500,no,,,,,.,,
103121680364,23be6551653a4a0284ec5ef0a5f0b383,usipa,,10,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,4000,no,,,.,,.,,400,OTHER (SPECIFY),Heap,SUN-DRIED,,200,no,,,,,.,,
103121690211,a7a96247cbd74fb3887dcb4745d1a436,usipa,,2,OTHER (SPECIFY),"""5 LITRE BUCKET """,fresh,,4500,no,,,,,,,120,OTHER (SPECIFY),"""HEAP """,fresh,,100,no,,,,,,,
103201700023,200abe65cf81492996fb536cdba870de,usipa,,10,LARGE BASKET,,fresh,.,5000,no,,,.,,.,,9,LARGE BASKET,,SUN-DRIED,.,7500,no,,,,,.,,
103201700023,200abe65cf81492996fb536cdba870de,,,10,LARGE BASKET,,fresh,,5000,no,,,,,,,9,LARGE BASKET,,SUN-DRIED,,7500,no,,,,,,,9
103201700057,5df913186e364fe2aae62230c04193c9,utaka,,0,,,,.,,no,,,.,,.,,2,LARGE BASKET,,fresh,.,15000,no,,,,,.,,
103201700057,5df913186e364fe2aae62230c04193c9,,,0,,,,,,no,,,,,,,2,LARGE BASKET,,fresh,,15000,no,,,,,,,10
103201700068,84be51f327394a3a8e5a06374264eba1,,,10,LARGE BASKET,,fresh,,3000,no,,,,,,,20,SMALL BASKET,,fresh,,2500,no,,,,,,,9
103201700068,84be51f327394a3a8e5a06374264eba1,usipa,,10,LARGE BASKET,,fresh,.,3000,no,,,.,,.,,20,SMALL BASKET,,fresh,.,2500,no,,,,,.,,
103201700079,9977f1d5d6f7420da34b676ad1f9bf0f,,,10,OTHER (SPECIFY),10 litre pail,fresh,,3500,no,,,,,,,20,OTHER (SPECIFY),5 litre pail,fresh,,2500,no,,,,,,,9
103201700079,9977f1d5d6f7420da34b676ad1f9bf0f,usipa,,10,OTHER (SPECIFY),10 litre pail,fresh,.,3500,no,,,.,,.,,20,OTHER (SPECIFY),5 litre pail,fresh,.,2500,no,,,,,.,,
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,usipa,,7,OTHER (SPECIFY),10 litre pail,SUN-DRIED,.,3500,no,,,.,,.,,14,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,.,2500,no,,,,,.,,
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,,,7,OTHER (SPECIFY),10 litre pail,SUN-DRIED,,3500,no,,,,,,,14,OTHER (SPECIFY),"""5 litre pail """,SUN-DRIED,,2500,no,,,,,,,9
103201700159,d4b20eee007e44c0a28d773f16c41258,,,20,OTHER (SPECIFY),"""40 litre pail """,fresh,,3500,no,,,,,,,35,SMALL BASKET,,SUN-DRIED,,4000,no,,,,,,,8
103201700159,d4b20eee007e44c0a28d773f16c41258,usipa,,10,OTHER (SPECIFY),40 litre pail RK,fresh,.,4000,no,,,.,,.,,10,OTHER (SPECIFY),"""40 litre pail RK """,fresh,.,7000,no,,,,,.,,
103201700159,d4b20eee007e44c0a28d773f16c41258,ncheni,,20,OTHER (SPECIFY),"""40 litre pail """,fresh,.,3500,no,,,.,,.,,35,SMALL BASKET,,SUN-DRIED,.,4000,no,,,,,.,,
103201700159,d4b20eee007e44c0a28d773f16c41258,,,10,OTHER (SPECIFY),40 litre pail RK,fresh,,4000,no,,,,,,,10,OTHER (SPECIFY),"""40 litre pail RK """,fresh,,7000,no,,,,,,,9
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,utaka,,3,LARGE BASKET,,fresh,.,14000,no,,,.,,.,,3,LARGE BASKET,,fresh,.,22000,no,,,,,.,,
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,,,3,LARGE BASKET,,fresh,,14000,no,,,,,,,3,LARGE BASKET,,fresh,,22000,no,,,,,,,10
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,usipa,,2,OTHER (SPECIFY),"""LARGE BASIN """,fresh,.,11000,no,,,.,,.,,2,OTHER (SPECIFY),"""LARGE BASIN """,fresh,.,17000,no,,,,,.,,
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,,,2,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,11000,no,,,,,,,2,OTHER (SPECIFY),"""LARGE BASIN """,fresh,,17000,no,,,,,,,9
103201700193,6bf41810b584418c9e9f51c0b46c6282,,,5,OTHER (SPECIFY),20 litre pail,fresh,,7000,no,,,,,,,5,OTHER (SPECIFY),20 litre pail,SUN-DRIED,,10000,no,,,,,,,9
103201700193,6bf41810b584418c9e9f51c0b46c6282,usipa,,5,OTHER (SPECIFY),20 litre pail,fresh,.,7000,no,,,.,,.,,5,OTHER (SPECIFY),20 litre pail,SUN-DRIED,.,10000,no,,,,,.,,
104021810008,1e0aebd7b0334d81963cceb98abc2b64,usipa,,3,OTHER (SPECIFY),"""10 litres pale """,fresh,.,5000,no,,,.,,.,,3,OTHER (SPECIFY),"""5 LITRES PALE """,SUN-DRIED,.,4000,no,,,,,.,,
104021810017,69fe1296e62643ae831589db3e368cee,usipa,,10,OTHER (SPECIFY),10 litres pale,fresh,.,4000,no,,,.,,.,,30,SMALL BASKET,,SUN-DRIED,.,5000,no,,,,,.,,
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,usipa,,6,SMALL BASKET,,SUN-DRIED,.,33000,no,,,.,,.,,3,SMALL BASKET,,SUN-DRIED,.,33000,no,,,,,.,,
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,usipa,,0,,,,.,,no,,,.,,.,,25,OTHER (SPECIFY),"""10 litres pails """,fresh,.,1000,no,,,,,.,,
104021810042,3ac5a8e86df9427f905e18c85060093b,usipa,,8,LARGE BASKET,,SUN-DRIED,.,5000,no,,,.,,.,,7,LARGE BASKET,,SUN-DRIED,.,5000,no,,,,,.,,
104021810075,33d72c15c22e4193a22f89d6087978f6,ncheni,,0,,,,.,,no,,,.,,.,,40,LARGE BASKET,,fresh,.,23000,no,,,,,.,,
104021810084,6d8dfc681c3247a2bd049133392cf5f5,usipa,,35,SMALL BASKET,,fresh,.,4000,no,,,.,,.,,56,SMALL BASKET,,fresh,.,5000,no,,,,,.,,
104021810109,572dbe8173894e32b723538056173285,usipa,,0,,,,.,,no,,,.,,.,,38,LARGE BASKET,,fresh,.,2000,no,,,,,.,,
104021810117,df0b43e26caa4c2fbd8422b108fbbede,ncheni,,200,DOZEN / BUNDLE,,fresh,.,2000,no,,,.,,.,,400,DOZEN / BUNDLE,,smoked,.,3000,no,,,,,.,,
104021810175,2a587a238d7248f6bb0505a7657a9ca2,usipa,,10,OTHER (SPECIFY),"""10 LITRES PALE """,fresh,.,4000,no,,,.,,.,,20,OTHER (SPECIFY),"""5 litres pale """,SUN-DRIED,.,3500,no,,,,,.,,
105011970059,025aa6c330234024a159947a74a27cb7,utaka,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
105011970059,025aa6c330234024a159947a74a27cb7,mlamba,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
105011970059,025aa6c330234024a159947a74a27cb7,makakani,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,usipa,,4,OTHER (SPECIFY),"""5 Litres Pail """,SUN-DRIED,,1300,no,,,,,,,120,OTHER (SPECIFY),SMALL HEAP,SUN-DRIED,,100,no,,,,,,,
105202190223,bc6852e572de444e85158af694a0bc75,,,10,LARGE BASKET,,smoked,,6000,no,,,,,,,10,LARGE BASKET,,smoked,,16000,no,,,,,,,9
105202190223,bc6852e572de444e85158af694a0bc75,usipa,,10,LARGE BASKET,,smoked,.,6000,no,,,.,,.,,10,LARGE BASKET,,smoked,.,16000,no,,,,,.,,
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,ncheni,,20,DOZEN / BUNDLE,,fresh,.,2000,no,,,,,.,,20,DOZEN / BUNDLE,,fresh,.,4000,no,,,,,.,,
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,usipa,,20,OTHER (SPECIFY),10 litre pail,fresh,.,1000,no,,,,,.,,40,OTHER (SPECIFY),"""5 litre pails """,fresh,.,700,no,,,,,.,,
106012200044,a76b724c2f83402d8decd8eaf428326e,usipa,,55,LARGE BASKET,,SUN-DRIED,.,5000,no,,,.,,.,,54,LARGE BASKET,,SUN-DRIED,,8000,no,,,,,.,,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,usipa,,20,LARGE BASKET,,SUN-DRIED,.,3500,no,,,,,.,,19,LARGE BASKET,,SUN-DRIED,.,5500,no,,,,,.,,
106012200096,d9e64ae237c5421495e282d113f1b33c,usipa,,28,OTHER (SPECIFY),"""AK large Plastic  basen """,fresh,.,4000,no,,,,,.,,27,OTHER (SPECIFY),"""AK Large Plastic basen """,SUN-DRIED,.,9000,no,,,,,.,,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,usipa,,12,LARGE BASKET,,SUN-DRIED,.,5000,no,,,,,.,,12,LARGE BASKET,,fresh,.,10000,yes,12,,,SUN-DRIED,.,10000,
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,usipa,,10,OTHER (SPECIFY),"""40 litre bucket """,SUN-DRIED,.,4000,no,,,,,.,,10,OTHER (SPECIFY),"""40 litre bucket """,SUN-DRIED,.,5000,no,,,,,.,,
