case_id,hhid,Boats_EnginesID,fs_h07a,fs_h07b,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13
102031320216,1818111553b34ead89842be2dff8ccff,Bwato (dugout),yes,,1,0,90000,0,0,0
102031360271,70ab9300d1d7492790de8ca0837e4af1,Bwato (dugout),yes,,1,1,50000,1,0,0
102041400017,0e66af7d72d34ecba01e7125b699982c,Bwato (dugout),yes,,1,0,60000,0,18000,0
102041400073,3533c366067d4e8eb8224aaf3185e921,Bwato (dugout),yes,,1,0,50000,0,0,2000
102051430036,f90d55d471e643f5b060ae457d032d00,Bwato (dugout),no,.,0,0,35000,0,8000,0
102051430063,f1b3be26069c489d8d14c57518101408,Bwato (dugout),yes,.,1,1,40000,1,0,0
102051430164,b38d57ceadc649fb9d65cab43fd11ef0,Bwato (dugout),yes,.,2,0,80000,0,5000,2100
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Bwato (dugout),no,.,0,0,45000,40,21000,0
102051430261,6552bf2e438f4d41b03bff392be5ae6e,Bwato (dugout),yes,.,1,0,50000,0,1,3000
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,Bwato (dugout),yes,,1,0,80000,0,0,2000
103041550161,37d827493097455584995cea49b0c3a0,"Other,specify",no,none,0,0,0,0,0,0
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,Bwato (dugout),yes,,1,0,60000,0,10000,0
103061590073,61bb91404e264119a579d63aed5ba43d,Bwato (dugout),yes,,1,1,70000,0,0,0
103061590125,ab50d5001869497fb6ae85e1f928e869,Bwato (dugout),yes,,1,0,100000,0,20000,0
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Plankboat,no,,0,0,0,0,0,0
103071610040,4465372f30494d5fbcc4764cd5cab555,Bwato (dugout),yes,,1,0,40000,0,0,0
103071610053,d0e24b08e3274e0e98030b040887bf4e,Bwato (dugout),yes,,1,1,25000,0,0,0
103081620085,109b0cdebbaf4170b6e59557684c2ce2,Bwato (dugout),yes,.,1,1,120000,0,0,0
103091640225,440104333e2e46afb69b58735a15ce1d,Bwato (dugout),yes,.,1,0,200000,0,1,20000
103201700045,922e3d8ad8584509943cdf1e7369d496,Bwato (dugout),yes,,1,1,60000,0,0,0
103201700045,922e3d8ad8584509943cdf1e7369d496,Bwato (dugout),yes,.,1,1,60000,0,0,0
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,Bwato (dugout),yes,.,1,1,215000,0,0,0
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,Bwato (dugout),yes,.,1,1,80000,0,0,1800
104021810109,572dbe8173894e32b723538056173285,Bwato (dugout),yes,.,1,0,47000,0,8000,0
104021810117,df0b43e26caa4c2fbd8422b108fbbede,Bwato (dugout),yes,.,2,2,40000,0,0,0
104021810158,e388d90053af4754844fdaf89d74a477,Bwato (dugout),yes,.,1,1,30000,0,0,0
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Bwato (dugout),yes,.,1,1,20000,0,0,0
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Plankboat,yes,.,1,1,45000,0,0,0
106012200074,0fefe02983d54c1e9c34e892cfc36aca,Plankboat,yes,.,1,1,120000,0,0,0
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Outboard engine,yes,.,1,0,500000,0,50000,20000
106012200111,f408e6986d064a479badfe445c059b10,Bwato (dugout),yes,.,1,0,50000,0,1000,0
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,Bwato (dugout),yes,.,1,1,70000,0,20000,15000
106012200140,a40dfdd1423a4301adda69279487b612,Bwato (dugout),yes,.,3,3,30000,0,0,15000
106012210045,2034b55a41de4b928623efb78b9444b8,Plankboat,yes,,2,1,100000,0,0,0
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,Plankboat,yes,,1,0,90000,0,3000,0
106012210122,d525875262dc4c2da8ba6c2b80dc5820,Outboard engine,yes,,3,3,2500000,0,0,10000
106012210186,dd157816118747f7b8c645deef83314a,Bwato (dugout),yes,,2,2,80000,0,0,0
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Outboard engine,yes,,1,2,500000,0,0,50000
106012220061,1299960eefdc49dc85e74275ff361dab,Bwato (dugout),yes,,1,0,70000,0,0,0
106012220083,299b0466b1c7480c9217a68f8b5ed850,Outboard engine,yes,,2,2,850000,0,0,40000
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Plankboat,yes,.,2,2,100000,0,0,0
106012220105,378d35459ffe4bbcb838fe972ccf76f4,Bwato (dugout),yes,,1,1,0,150000,0,30000
106012220171,8949b0927d47403689676499aaa0e554,Bwato (dugout),yes,,1,1,80000,0,0,0
106012220192,e07b605d86664cfeb87f6d0f41a31538,Plankboat,yes,,1,1,25000,0,0,0
106012220214,58d807a0904745bd8e2b83c77c4e8afe,Outboard engine,yes,,1,1,200000,0,0,25000
106012220280,e9233b566489450294fa0fb34d988278,Bwato (dugout),yes,,1,1,36000,0,0,0
106012220346,0480490180ae492bab38520e1a2d9a52,Bwato (dugout),yes,,1,0,50000,0,0,10000
106012230013,6cc3588b213e4615aeff177626a94117,Bwato (dugout),yes,.,1,1,100000,0,0,0
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,Bwato (dugout),yes,.,1,0,55000,0,20000,0
106012230177,a21dcb576aab47498258a551704d0e1a,Bwato (dugout),yes,.,1,1,45000,0,0,0
106012240131,3d46228d82ab4af6900846a524e7afd7,Bwato (dugout),yes,,1,1,50000,0,0,0
106012250020,db2c6d4784534897bed7627d3da9fe5b,Bwato (dugout),yes,,1,0,80000,0,0,0
106012250136,53e1f38072e04f3b800220bbff635724,Bwato (dugout),yes,,1,1,70000,0,0,25000
106012260028,db10b756b2b649338d6b0cc5dab1db9e,Bwato (dugout),yes,.,1,1,40000,0,0,0
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,Bwato (dugout),yes,.,1,1,20000,0,0,0
106012270125,97c3a192048e45fd95240ad1844012e6,Bwato (dugout),yes,,1,1,100000,0,0,0
106012270144,cc6e6992ce7e4b13b8a09e070d177a21,Bwato (dugout),yes,,1,1,45000,0,0,0
106012270162,53b1172c8b584b9baacecaa75a988982,Bwato (dugout),yes,,1,1,0,200000,0,15000
106012280034,dda4810cf7b841b592cbc3ba5e724664,Plankboat,yes,,1,1,150000,0,0,0
106012280034,dda4810cf7b841b592cbc3ba5e724664,Outboard engine,yes,,1,1,200000,0,0,20000
106012280073,cfdf0fa754b54dd6ae961b086d0e4809,Plankboat,yes,,2,2,270000,0,0,20000
106012290134,4073d45af850495d9611563823d55180,Plankboat,yes,.,1,0,60000,0,20000,0
201092650014,cf4256eda8da4ec491a36a56cd1864e8,Bwato (dugout),yes,,1,1,3500,0,0,700
201092650014,cf4256eda8da4ec491a36a56cd1864e8,Bwato (dugout),yes,.,1,1,3500,0,0,700
202012790011,2a95fcb052ee42a2b5c022452cadc2d0,Plankboat,yes,.,1,1,80000,0,0,0
202012790029,bea54af9c5784c588259a0e17174c84a,Plankboat,yes,.,1,0,150000,0,50000,0
202012790040,7241cd8f32ff4106b55025b4a6f5d740,Plankboat,yes,.,1,0,35000,2,5000,0
202012830237,f1e45c98b9aa4142aa04d55d518d6618,Outboard engine,yes,.,1,0,400000,0,80000,200000
202032880190,b08aa2f097364d9aac1ff7894c3c1cab,Bwato (dugout),yes,,1,1,50000,1,42000,0
202032900002,5b4548bf808a4f0c9d0cd57f822fbe32,Bwato (dugout),yes,,1,1,5000,0,0,0
202032900151,1f30ffc4d661494ba2460dcbd9d9fe72,Bwato (dugout),yes,,1,0,60000,1,20000,0
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Bwato (dugout),yes,.,1,0,32000,0,7000,0
202042920250,df201e07e33d498e88849bae523fe4fb,Bwato (dugout),yes,,3,0,60000,0,21000,0
202052980483,8ddd6c96ab654f27b5c4a57019e4ff26,Bwato (dugout),yes,,1,1,25000,0,4500,0
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,Bwato (dugout),yes,.,1,1,50000,1000,0,0
202203010134,ebb1936f05454d26bbc2e76ecbec96b7,Bwato (dugout),yes,,1,1,50000,1000,0,0
205053630038,7c95a7771a7b49d399a16e7f087e6d7a,Bwato (dugout),yes,.,1,1,35000,0,0,0
205093710037,5cd87a3c0e03474aae127305863dab3c,Plankboat,yes,.,2,0,60000,0,0,0
205093710051,13e9088afe9c438cac1a4f7903b6c3d6,Plankboat,yes,.,3,0,180000,0,6000,0
205213740051,efead557527c4756938f9c6280e9d4f1,Bwato (dugout),yes,,1,0,45000,0,2000,0
205213740258,1be356194ac443a58ce70510ed78b02d,Bwato (dugout),yes,,1,0,0,0,0,0
208074530245,d42801a9eb0f4ab985798cb018d206e7,Bwato (dugout),yes,,1,4,50000,0,1,3000
301215420031,b4237fc6be1e4fd9b358e91f617a06cd,Bwato (dugout),yes,,1,0,30000,0,10000,0
301215420102,8fe404afd210435ebf7f864bb9439bd9,Bwato (dugout),yes,,1,0,40000,0,0,0
301215420280,f1b6f0ef573a4c7ebacbb5c7d5b77b82,Bwato (dugout),yes,,1,0,150000,0,12000,0
302035540030,2ed0c205f1dd42ba938c9bc18c8b4451,Bwato (dugout),yes,.,1,1,10000,0,0,0
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,Bwato (dugout),yes,.,1,1,10000,0,0,0
302035540196,ac0bc9d9b3264e80bece616687522955,Bwato (dugout),yes,.,1,1,4500,0,0,0
302035540211,942af73fcf754f59b412db31d02c7cc3,Bwato (dugout),yes,.,1,1,30000,0,0,0
302075600033,ec27dff59dc04b33b2ca19d9e24ace5a,Bwato (dugout),yes,.,1,1,22000,0,0,0
302075600255,0a4f52e5fc644f849d1a6fbec7e4881d,Bwato (dugout),yes,.,1,1,25000,1,25000,0
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,Bwato (dugout),yes,.,1,1,75000,0,0,0
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,Bwato (dugout),yes,,1,1,75000,0,0,0
303025730130,ea35b6b913e24b4693837847c8b344c5,Bwato (dugout),yes,.,10,0,200,30000,5600,0
303025730130,ea35b6b913e24b4693837847c8b344c5,Plankboat,yes,.,8,0,80000,0,4800,0
303025730226,b6be6a7b4cfd4d7b95bf635c402234fc,Bwato (dugout),yes,.,1,1,5000,0,0,0
303025730318,31fda59924d7462799196c02098345af,Plankboat,yes,.,1,1,150000,0,20000,0
303025730354,c88d0feb34de41e7b29b020fac7d45c2,Plankboat,yes,.,1,0,30000,0,20000,5000
309017130078,0efc68515967476cb7731b9a3aa6e407,Bwato (dugout),yes,.,1,1,40000,0,0,0
311047620222,59af2959373a49688125879137dc025b,Bwato (dugout),yes,.,1,1,50000,0,0,0
311047670007,fc0c6c2029ba4946904eeb0f511725eb,Bwato (dugout),yes,.,1,0,45000,0,200,5000
311047670022,23854e9fb8674e979c09cc41550e9bbc,Bwato (dugout),yes,.,1,1,300,0,0,0
311057710308,4658ff81394f4c798120107d9b2bfde2,Bwato (dugout),yes,.,2,0,16000,0,1,2000
311067740059,e1748feaa90e4f07b7e37d87d03cf617,Bwato (dugout),yes,,1,1,5000,0,0,0
