case_id,HHID,CostsID,fs_j04a,fs_j04b,fs_j05
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,Transport,yes,,7000
102011240055,73dde2e9798343728bb0a59b77323d16,Hired Labor,yes,,4000
102011240191,ff1c536c23f74272b538ba40cb8a017c,Ice,yes,,3000
102011240191,ff1c536c23f74272b538ba40cb8a017c,Transport,yes,,6000
102011270158,56504e358a454e228f77dab5602f635e,Transport,yes,,800
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Hired Labor,yes,,15000
102031340186,b16818be1135482e9e3da5ee403698f0,Ice,yes,,3000
102031340186,b16818be1135482e9e3da5ee403698f0,Transport,yes,,6000
102031350113,aa64297c5a144e4cb978a10ba2317e93,Transport,yes,,30000
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,Hired Labor,yes,,45000
102051410196,f5759c2a258644598a43fd1c6a26b424,Transport,yes,,3500
102201430307,e9e09d1f25f045a2977e121c85cd8299,Tax,yes,,1500
102201430307,e9e09d1f25f045a2977e121c85cd8299,Ice,yes,,4500
102201460042,165210a5cec9462990d6f144094ceb9d,Ice,yes,,3000
102201460042,165210a5cec9462990d6f144094ceb9d,Transport,yes,,2000
102201460103,c9d941818fb345438335e3c8a73347f0,Tax,yes,,900
102201460103,c9d941818fb345438335e3c8a73347f0,Other Specify,yes,PLASTIC BAGS,150
102201460206,4e417471acac4e86953bec6695c5aa55,Transport,yes,,2400
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,Transport,yes,,3000
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,Transport,yes,,4000
103041550180,63d5301b943a433da5d50baa505766aa,Hired Labor,yes,,2000
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,Transport,yes,,2000
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,Transport,yes,,5000
103201680072,987b4bd27aa442968db466205a1e3536,Hired Labor,yes,,1500
103201680072,987b4bd27aa442968db466205a1e3536,Transport,yes,,3000
103201680086,4ff89dca92af45b684af7220cedd61ba,Transport,yes,,7000
103201680086,4ff89dca92af45b684af7220cedd61ba,Hired Labor,yes,,1000
104201890128,4c55c9d701b247ceb85adc68fb6f7955,Transport,yes,,9000
106012110070,db8d62f269ce4087b6888253bfe2c32b,Transport,yes,,6000
106012110077,c8a435b803704218b05c556b00cfddb4,Hired Labor,yes,,4000
106012110077,c8a435b803704218b05c556b00cfddb4,Transport,yes,,10000
106012110360,8b8846595c544806a0848e62b383f1a3,Transport,yes,,10000
201012370054,3498e3e819d442fb918936d1ceeedbf1,Transport,yes,,1400
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Transport,yes,,12000
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Hired Labor,yes,,6000
201042400156,46a5daaf62c248da97fcc10129e832b6,Transport,yes,,2000
201042400340,2939e73be2d142bc9c40bb14c40ec65f,Transport,yes,,2000
201202510452,33562022c89342cdb15d85e78156605f,Transport,yes,,8000
201202510452,33562022c89342cdb15d85e78156605f,Hired Labor,yes,,6000
201202510452,33562022c89342cdb15d85e78156605f,Ice,yes,,2500
202012610288,26adc41013a94298b69eb3598e8dad22,Hired Labor,yes,,10000
202012610405,9d70f67249c746d7b8ea515f7c63645b,Ice,yes,,5000
202062760073,8dd4a2c502924f25b03154276d68d9cb,Packaging,yes,,300
203063000058,49bc806a98134d20b716d6e39a4fdf97,Transport,yes,,3500
203073010095,28edae89a19944829e6156a16565d79b,Transport,yes,,1000
204013060229,c1dd7f37d3d1487f9fffe745272d8ae3,Transport,yes,,2000
205013280943,baf974ca5ded4c0cbf31b8a14950bf31,Transport,yes,,4000
205013280943,baf974ca5ded4c0cbf31b8a14950bf31,Ice,yes,,3000
205053370039,8b81dd0a679948b880b66a1f598c45a0,Transport,yes,,2000
205053370039,8b81dd0a679948b880b66a1f598c45a0,Hired Labor,yes,,1200
205063380124,b22f72637bb147e1a837a25a35160eb9,Transport,yes,,12000
206093710094,7ce47bc9fca74b2392b3b51f4d49bf38,Transport,yes,,1000
207074010032,b128cc944a5d4d6f80785919fde72513,Transport,yes,,600
207074010118,007e60d0bf334854b312ccb2409eed7f,Transport,yes,,500
207204060187,afa03f7d108b4edf82d4164831a15722,Transport,yes,,20000
207204060187,afa03f7d108b4edf82d4164831a15722,Tax,yes,,700
209094440120,0b6a41558a064562be0fd38e85190cf3,Transport,yes,,9000
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Transport,yes,,11000
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Packaging,yes,,4200
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Ice,yes,,4000
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Hired Labor,yes,,8000
210814760094,d382e45049974e5baf0d325a38906db6,Transport,yes,,3000
210834770069,2a1005333abc4ac1ad79c0051f7b04ae,Ice,yes,,2000
210854780182,16fda3533fea49ca95e32bb02d73263d,Transport,yes,,500
301014850160,cf4572ae99184feba6dc86dec75e5902,Packaging,yes,,500
301014850160,cf4572ae99184feba6dc86dec75e5902,Transport,yes,,3000
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Packaging,yes,,400
301064980151,ab89e2398c05431bb43a27f0c25e1673,Other Specify,yes,PLASTIC BAG,120
301064980151,ab89e2398c05431bb43a27f0c25e1673,Transport,yes,,1000
303015310009,3c38d3a7805c476db300e4d536a0b5a0,Transport,yes,,10000
303025320062,d61e48d5c68247ef8ffaadcc9fa32476,Transport,yes,,6000
303025350174,4025541d86034a008c2cacba37617fc9,Transport,yes,,2500
303025350174,4025541d86034a008c2cacba37617fc9,Packaging,yes,,1000
303085480143,cfa0f489f69f490db04ecd3103673530,Transport,yes,,1000
303085480143,cfa0f489f69f490db04ecd3103673530,Packaging,yes,,150
303115520016,7255266ca5a74a22ac469e9e68146d4b,Packaging,yes,,150
304015560433,63194b9fd9a5456d91558bb3ffd032af,Packaging,yes,,500
304015560433,63194b9fd9a5456d91558bb3ffd032af,Transport,yes,,5000
304025600025,105374ca639646d8906e036dfc8ac476,Transport,yes,,600
304025600025,105374ca639646d8906e036dfc8ac476,Packaging,yes,,600
304025600055,3d44ff87d2c0420abb9ee81fdf34c926,Transport,yes,,1800
304025600055,3d44ff87d2c0420abb9ee81fdf34c926,Packaging,yes,,800
304045650106,5e90b16272b44ed99e3eedaf943684c5,Transport,yes,,1000
304045650106,5e90b16272b44ed99e3eedaf943684c5,Packaging,yes,,300
304045650172,069ab247f7264ce581036e1060e312b8,Packaging,yes,,500
304045650172,069ab247f7264ce581036e1060e312b8,Transport,yes,,3000
304045670130,7d69bd9673a3475480350e1f0ee92853,Packaging,yes,,600
306016010040,9a82dabc5c4e47cda2343aae7a0a6de8,Hired Labor,yes,,3000
306016010040,9a82dabc5c4e47cda2343aae7a0a6de8,Packaging,yes,,2300
306016010040,9a82dabc5c4e47cda2343aae7a0a6de8,Transport,yes,,20000
306026070251,12e41952047e41d5a73f0d3e7a1fe345,Transport,yes,,800
306036140112,52d1b7a2d60949ae822f6b3a46f0cc25,Transport,yes,,3000
306036150223,490bc6885f494f479d5246af54f3d292,Transport,yes,,4000
306206170063,0082ee2b4e604e8ebeeeb495b1865d5f,Packaging,yes,,15000
306206170063,0082ee2b4e604e8ebeeeb495b1865d5f,Hired Labor,yes,,15000
306206170063,0082ee2b4e604e8ebeeeb495b1865d5f,Transport,yes,,30000
306206170130,615a3a870bfc4944beffa6e6ece786f4,Transport,yes,,5000
306206170130,615a3a870bfc4944beffa6e6ece786f4,Packaging,yes,,1000
306206170130,615a3a870bfc4944beffa6e6ece786f4,Ice,yes,,1800
306206170130,615a3a870bfc4944beffa6e6ece786f4,Hired Labor,yes,,1500
307056230097,213b98c7e10a4e5a80ee670eda51af6f,Transport,yes,,3400
307106330067,888ad8ec605c4d4a9bb2da549daa7435,Transport,yes,,1000
308016420094,5851736f5f344aed8816f66878ae8e01,Packaging,yes,,1000
308016430046,39db67d674744eb797d445468edb751f,Transport,yes,,1500
308026480180,a85ff658da674132a962fad34730a36b,Transport,yes,,500
308056560229,45e624b45a7f4b2286c93b8a62628ae4,Transport,yes,,6500
309066830167,a138892b8d2344c594e625d5a9e226db,Packaging,yes,,1000
310046990084,43557769c7454e2e986f0f330deaadca,Hired Labor,yes,,300
310046990084,43557769c7454e2e986f0f330deaadca,Transport,yes,,6800
311027110154,f8cb9614a35e48e48a887462089fa9ca,Hired Labor,yes,,3000
311087260311,c588640d76b04459a32ccafb6f692810,Hired Labor,yes,,2000
311087260311,c588640d76b04459a32ccafb6f692810,Transport,yes,,16400
311087260311,c588640d76b04459a32ccafb6f692810,Packaging,yes,,1500
311107280040,8fc16ad47fc14597a9592edfcaec9944,Transport,yes,,2000
311107280040,8fc16ad47fc14597a9592edfcaec9944,Hired Labor,yes,,2000
312017310324,dc1d42731e5842c39937e0a95e1cca81,Transport,yes,,1200
312027360016,6c8276bcc8cf417d8c40c0748a0ab069,Packaging,yes,,200
312027360016,6c8276bcc8cf417d8c40c0748a0ab069,Transport,yes,,2000
312037410135,ea7c120cf1774d5b9179d64c037893b1,Transport,yes,,500
312037410135,ea7c120cf1774d5b9179d64c037893b1,Packaging,yes,,300
312047430178,d8cb6bc3636c4bd297c7cbd3b3d3b9d5,Transport,yes,,1000
312207520007,0f82fc61c05844cdb8609225f068981b,Transport,yes,,1000
314317740013,2cf4edd7bdf04fc2a465154702623a7c,Transport,yes,,6500
314337800074,845a08dc992f435cacace2df71b24775,Transport,yes,,500
314337800074,845a08dc992f435cacace2df71b24775,Packaging,yes,,100
314337800078,e536f61bc2db4e67a6516e8470f961a4,Transport,yes,,500
314337800078,e536f61bc2db4e67a6516e8470f961a4,Packaging,yes,,300
314337820262,a77f8853abc84b919160cb0d8d547eb5,Transport,yes,,4000
315327980005,bcdb72bbe20645109e1d5cda49741912,Transport,yes,,2800
315327980005,bcdb72bbe20645109e1d5cda49741912,Packaging,yes,,400
315327980221,d6174276d9384a75a1ccc226539b4148,Transport,yes,,1200
315358020138,c08059c6952f40929f8e771de54ef055,Packaging,yes,,500
315358020138,c08059c6952f40929f8e771de54ef055,Transport,yes,,20000
315358020138,c08059c6952f40929f8e771de54ef055,Hired Labor,yes,,10000
315358020138,c08059c6952f40929f8e771de54ef055,Ice,yes,,21000
315398040094,7ef243e499a14efca0710babf7fea95f,Transport,yes,,20000
315398040094,7ef243e499a14efca0710babf7fea95f,Ice,yes,,1200
315408060059,8b0aa4b72a664708b223f8f40db0658a,Hired Labor,yes,,2000
315408060059,8b0aa4b72a664708b223f8f40db0658a,Transport,yes,,6000
315408060192,a14a8279f5a74105bfb2c4dc46194be8,Packaging,yes,,1000
315408060192,a14a8279f5a74105bfb2c4dc46194be8,Transport,yes,,23000
315408060192,a14a8279f5a74105bfb2c4dc46194be8,Ice,yes,,1500
315448090005,9b766ebb86a7459e8c570cbb4ad11339,Transport,yes,,4500
315498120102,112dc2135689405bad37ed2e7aed811b,Transport,yes,,3000
315538160002,29a6864459df4962b07739c7737f17d2,Packaging,yes,,400
