region,crop_code,unit_name,unit_code,condition,conversion,collectionround
North,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE LOCAL,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE LOCAL,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE LOCAL,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE LOCAL,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE LOCAL,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE LOCAL,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE LOCAL,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE LOCAL,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE LOCAL,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE LOCAL,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE LOCAL,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE LOCAL,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE LOCAL,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE LOCAL,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE LOCAL,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE COMPOSITE/OPV,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE COMPOSITE/OPV,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE HYBRID,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE HYBRID,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE HYBRID,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE HYBRID,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE HYBRID,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE HYBRID,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE HYBRID,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE HYBRID,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE HYBRID,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE HYBRID,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE HYBRID,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE HYBRID,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE HYBRID,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE HYBRID,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE HYBRID,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE HYBRID,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE HYBRID,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE HYBRID,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE HYBRID,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE HYBRID,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE HYBRID,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE HYBRID,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE HYBRID,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE HYBRID,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE HYBRID,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE HYBRID,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE HYBRID,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,OX-CART,12,S: Shelled,468,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,OX-CART,12,S: Shelled,468,Collected in Only 2016
South,MAIZE HYBRID RECYCLED,OX-CART,12,S: Shelled,468,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,OX-CART,12,U: Unshelled,682,Collected In Both 2016 and 2019
South,MAIZE HYBRID RECYCLED,OX-CART,12,U: Unshelled,388.44,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,PAIL (MEDIUM),14,S: Shelled,10,Collected in Only 2019
Central,MAIZE HYBRID RECYCLED,PAIL (MEDIUM),14,S: Shelled,8.0450001,Collected in Only 2019
South,MAIZE HYBRID RECYCLED,PAIL (MEDIUM),14,S: Shelled,8.9379997,Collected in Only 2019
North,MAIZE HYBRID RECYCLED,50 KG BAG,2,S: Shelled,51.599998,Collected In Both 2016 and 2019
Central,MAIZE HYBRID RECYCLED,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
South,MAIZE HYBRID RECYCLED,50 KG BAG,2,S: Shelled,51,Collected In Both 2016 and 2019
North,MAIZE HYBRID RECYCLED,50 KG BAG,2,U: Unshelled,46.064999,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,50 KG BAG,2,U: Unshelled,44.232082,Collected in Only 2016
South,MAIZE HYBRID RECYCLED,50 KG BAG,2,U: Unshelled,44.274353,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,90 KG BAG,3,S: Shelled,99.900002,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,90 KG BAG,3,S: Shelled,95.925003,Collected in Only 2016
South,MAIZE HYBRID RECYCLED,90 KG BAG,3,S: Shelled,96.01667,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,90 KG BAG,3,U: Unshelled,82.917,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,90 KG BAG,3,U: Unshelled,79.617752,Collected in Only 2016
South,MAIZE HYBRID RECYCLED,90 KG BAG,3,U: Unshelled,79.693832,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,PAIL (SMALL),4,S: Shelled,4.4449997,Collected In Both 2016 and 2019
Central,MAIZE HYBRID RECYCLED,PAIL (SMALL),4,S: Shelled,5.29,Collected In Both 2016 and 2019
South,MAIZE HYBRID RECYCLED,PAIL (SMALL),4,S: Shelled,5.25,Collected In Both 2016 and 2019
Central,MAIZE HYBRID RECYCLED,PAIL (SMALL),4,U: Unshelled,3.8301039,Collected in Only 2016
North,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,S: Shelled,18.700001,Collected In Both 2016 and 2019
Central,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,S: Shelled,16.684999,Collected In Both 2016 and 2019
South,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,S: Shelled,18,Collected In Both 2016 and 2019
North,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,U: Unshelled,14.981501,Collected in Only 2016
Central,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,U: Unshelled,14.386667,Collected in Only 2016
South,MAIZE HYBRID RECYCLED,PAIL (LARGE),5,U: Unshelled,14.7325,Collected in Only 2016
North,TOBACCO BURLEY,BALE,10,Not Applicable,100,Collected in Only 2016
Central,TOBACCO BURLEY,BALE,10,Not Applicable,100,Collected in Only 2016
South,TOBACCO BURLEY,BALE,10,Not Applicable,100,Collected in Only 2016
North,TOBACCO BURLEY,50 KG BAG,2,Not Applicable,20,Collected in Only 2016
Central,TOBACCO BURLEY,50 KG BAG,2,Not Applicable,20,Collected in Only 2016
South,TOBACCO BURLEY,50 KG BAG,2,Not Applicable,20,Collected in Only 2016
North,TOBACCO BURLEY,90 KG BAG,3,Not Applicable,36,Collected in Only 2016
Central,TOBACCO BURLEY,90 KG BAG,3,Not Applicable,36,Collected in Only 2016
South,TOBACCO BURLEY,90 KG BAG,3,Not Applicable,36,Collected in Only 2016
North,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT CHALIMBANA,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT CHALIMBANA,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT CHALIMBANA,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT CHALIMBANA,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,GROUNDNUT CHALIMBANA,90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,GROUNDNUT CHALIMBANA,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT CHALIMBANA,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT CG7,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT CG7,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT CG7,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT CG7,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT CG7,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT CG7,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,GROUNDNUT CG7,90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,GROUNDNUT CG7,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT CG7,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT CG7,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT CG7,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT CG7,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT CG7,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT CG7,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT CG7,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT CG7,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT CG7,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
